msl_trend,latbin,lonbin
1.5891252,-68.0,-92.0
1.4437972,-68.0,-91.0
1.5163784,-68.0,-90.0
1.8532046,-68.0,-89.0
2.052003,-68.0,-88.0
2.0551233,-68.0,-87.0
2.2933917,-68.0,-86.0
2.9073915,-68.0,-85.0
2.9255497,-68.0,-84.0
2.7138176,-68.0,-83.0
2.8593948,-68.0,-82.0
2.916059,-68.0,-81.0
2.9356818,-68.0,-80.0
2.592665,-68.0,-79.0
2.3886893,-68.0,-78.0
2.5887434,-68.0,-77.0
2.7059758,-68.0,-76.0
2.713808,-68.0,-75.0
2.7219303,-68.0,-74.0
2.7288203,-68.0,-73.0
2.7739344,-68.0,-72.0
2.7215023,-68.0,-71.0
2.6511958,-68.0,-70.0
2.65802,-68.0,-69.0
2.6587973,-68.0,-68.0
2.7598515,-68.0,-67.0
1.9706553,-68.0,-39.0
2.0138671,-68.0,-38.0
2.0037177,-68.0,-37.0
1.9861742,-68.0,-36.0
1.9859419,-68.0,-35.0
2.0035982,-68.0,-34.0
2.0113716,-68.0,-33.0
2.0520854,-68.0,-32.0
2.0344868,-68.0,-31.0
2.0397,-68.0,-30.0
2.0811098,-68.0,-29.0
2.1334457,-68.0,-28.0
2.183919,-68.0,-27.0
2.2040455,-68.0,-26.0
2.1997662,-68.0,-25.0
2.1988573,-68.0,-24.0
2.1959984,-68.0,-23.0
2.1995409,-68.0,-22.0
2.2367861,-68.0,-21.0
2.292277,-68.0,-20.0
2.3278341,-68.0,-19.0
2.3438463,-68.0,-18.0
2.350765,-68.0,-17.0
2.3501565,-68.0,-16.0
2.3611784,-68.0,-15.0
2.3830698,-68.0,-14.0
2.3902013,-68.0,-13.0
2.3861382,-68.0,-12.0
2.3973083,-68.0,-11.0
2.4308708,-68.0,-10.0
2.4988012,-68.0,-9.0
2.5705192,-68.0,-8.0
2.6254363,-68.0,-7.0
2.6611109,-68.0,-6.0
2.7001472,-68.0,-5.0
2.6937246,-68.0,-4.0
2.666996,-68.0,-3.0
2.6899776,-68.0,-2.0
2.7305305,-68.0,-1.0
2.7443628,-68.0,0.0
2.7182987,-68.0,1.0
2.6751165,-68.0,2.0
2.6835084,-68.0,3.0
2.7417626,-68.0,4.0
2.8080657,-68.0,5.0
2.8596017,-68.0,6.0
2.868491,-68.0,7.0
2.8537629,-68.0,8.0
2.86513,-68.0,9.0
2.8613572,-68.0,10.0
2.8262634,-68.0,11.0
2.774417,-68.0,12.0
2.760762,-68.0,13.0
2.7858899,-68.0,14.0
2.7921236,-68.0,15.0
2.7532907,-68.0,16.0
2.6841762,-68.0,17.0
2.6118627,-68.0,18.0
2.5715816,-68.0,19.0
2.5457308,-68.0,20.0
2.5384188,-68.0,21.0
2.5495002,-68.0,22.0
2.523235,-68.0,23.0
2.524523,-68.0,24.0
2.5600476,-68.0,25.0
2.6179748,-68.0,26.0
2.6799679,-68.0,27.0
2.7428453,-68.0,28.0
2.7010307,-68.0,29.0
2.6093442,-68.0,30.0
2.581882,-68.0,31.0
2.7864392,-68.0,32.0
3.02444,-68.0,33.0
3.0802646,-68.0,34.0
2.9403238,-68.0,35.0
2.840612,-68.0,36.0
2.7551239,-68.0,37.0
2.6824012,-68.0,38.0
2.7260075,-68.0,39.0
2.7932043,-68.0,40.0
2.7978754,-68.0,41.0
2.8100717,-68.0,42.0
2.8143232,-68.0,43.0
2.8197076,-68.0,44.0
3.5245717,-68.0,68.0
3.5707624,-68.0,69.0
3.4619954,-68.0,70.0
3.4847097,-68.0,71.0
3.639993,-68.0,72.0
3.6837413,-68.0,73.0
3.6530588,-68.0,74.0
3.6645246,-68.0,75.0
3.5898786,-68.0,76.0
3.5552146,-68.0,77.0
3.5878503,-68.0,78.0
3.632459,-68.0,79.0
3.4712796,-68.0,80.0
3.477461,-68.0,81.0
2.2916434,-68.0,157.0
2.203066,-68.0,158.0
2.3714387,-68.0,159.0
2.5609393,-68.0,160.0
2.5386386,-68.0,161.0
2.585047,-68.0,162.0
2.598732,-68.0,163.0
2.6411614,-68.0,164.0
2.7573252,-68.0,165.0
2.8009462,-68.0,166.0
2.7671456,-68.0,167.0
2.731194,-68.0,168.0
2.7374167,-68.0,169.0
2.7282367,-68.0,170.0
2.740919,-68.0,171.0
2.830231,-68.0,172.0
2.908086,-68.0,173.0
2.8336067,-68.0,174.0
2.6621532,-68.0,175.0
2.5238986,-68.0,176.0
2.4720538,-68.0,177.0
2.450682,-68.0,178.0
2.4311717,-68.0,179.0
2.5136588,-67.0,-180.0
2.467335,-67.0,-179.0
